symbol,datetime,open,high,low,close
AMC,2022-09-09 04:00:00,8.86,9.73,8.78,9.72
AMC,2022-09-12 04:00:00,10.01,10.75,9.85,10.22
AMC,2022-09-13 04:00:00,9.63,9.8871,9.45,9.72
AMC,2022-09-14 04:00:00,9.52,9.93,9.21,9.91
AMC,2022-09-15 04:00:00,9.75,10.39,9.71,9.88
AMC,2022-09-16 04:00:00,9.62,9.675,8.98,8.98
AMC,2022-09-19 04:00:00,9.07,9.35,8.845,9.18
AMC,2022-09-20 04:00:00,9.23,9.32,8.62,8.71
AMC,2022-09-21 04:00:00,8.73,8.96,8.46,8.6
AMC,2022-09-22 04:00:00,8.62,8.66,7.73,7.85
AMC,2022-09-23 04:00:00,7.72,8.14,7.65,7.99
AMC,2022-09-26 04:00:00,7.65,7.97,6.81,6.83
AMC,2022-09-27 04:00:00,7.16,7.52,6.98,7.45
AMC,2022-09-28 04:00:00,7.3,7.71,7.11,7.67
AMC,2022-09-29 04:00:00,7.46,7.61,6.9,7.1
AMC,2022-09-30 04:00:00,6.97,7.28,6.82,6.97
AMC,2022-10-03 04:00:00,6.84,6.95,6.61,6.88
AMC,2022-10-04 04:00:00,6.98,8.13,6.97,7.83
AMC,2022-10-05 04:00:00,7.55,7.55,7.04,7.33
AMC,2022-10-06 04:00:00,7.38,7.62,7.12,7.12
AMC,2022-10-07 04:00:00,7.1,7.1,6.4,6.53
AMC,2022-10-10 04:00:00,6.46,6.93,6.27,6.35
AMC,2022-10-11 04:00:00,6.4,6.48,6.07,6.12
AMC,2022-10-12 04:00:00,6.12,6.24,5.62,5.85
AMC,2022-10-13 04:00:00,5.63,6.275,5.47,6.04
AMC,2022-10-14 04:00:00,6.21,6.3497,5.945,6.0
AMC,2022-10-17 04:00:00,6.18,6.48,6.0915,6.36
AMC,2022-10-18 04:00:00,6.6,6.8,6.37,6.51
AMC,2022-10-19 04:00:00,6.41,6.5,6.05,6.11
AMC,2022-10-20 04:00:00,6.2,6.58,6.1301,6.35
AMC,2022-10-21 04:00:00,6.35,6.57,6.22,6.49
AMC,2022-10-24 04:00:00,6.46,6.55,6.2,6.36
AMC,2022-10-25 04:00:00,6.3,6.995,6.27,6.75
AMC,2022-10-26 04:00:00,6.54,7.11,6.5,6.64
